dataset,target,model,provider,query_id,difficulty,validation_passed,pass_at_1,iterations_used,duration_seconds,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,billed_input_tokens,cost_usd
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q01,easy,True,True,1,3.2782845849869773,57,77,0,4992,5049,0.03341
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q02,easy,True,True,1,2.613208547991235,71,80,0,5548,5619,0.03703
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q03,easy,True,True,1,4.596435651008505,55,62,4992,0,5047,0.004321
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q04,hard,True,True,1,2.33418972697109,115,104,0,6578,6693,0.0442875
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q05,hard,True,True,1,3.7712932910071686,159,212,0,7116,7275,0.05057
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q06,medium,True,True,1,2.3379701540106907,118,100,0,5564,5682,0.037865
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q07,medium,True,True,1,2.853055184998084,158,142,0,6120,6278,0.04259
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q08,hard,True,True,1,2.9597782189957798,259,216,0,5685,5944,0.04222625
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q09,medium,True,True,1,2.5397992599755526,122,142,0,5849,5971,0.04071625
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q10,hard,True,True,1,2.2384973790030926,117,95,6578,0,6695,0.006249
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q11,hard,True,True,1,2.6444883400108665,130,126,6578,0,6708,0.007089
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q12,hard,True,True,1,4.3897649080026895,182,248,0,6080,6262,0.04511
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q13,hard,True,True,1,2.437361427000724,89,95,0,5135,5224,0.03491375
ldbc,aql,claude-opus-4-8,anthropic,ldbc_q14,medium,True,True,1,2.135172659996897,101,103,0,6293,6394,0.04241125
ldbc,aql,gemma4:26b,ollama,ldbc_q01,easy,True,True,1,21.15921866003191,3441,453,0,0,3441,0.0
ldbc,aql,gemma4:26b,ollama,ldbc_q02,easy,True,True,1,14.435183287016116,3818,1225,0,0,3818,0.0
ldbc,aql,gemma4:26b,ollama,ldbc_q03,easy,True,True,1,5.401433562976308,3436,429,0,0,3436,0.0
ldbc,aql,gemma4:26b,ollama,ldbc_q04,hard,True,True,1,24.457997308985796,4432,1981,0,0,4432,0.0
ldbc,aql,gemma4:26b,ollama,ldbc_q05,hard,True,True,1,72.69567641202593,4764,6385,0,0,4764,0.0
ldbc,aql,gemma4:26b,ollama,ldbc_q06,medium,True,True,1,22.087201951944735,3856,1801,0,0,3856,0.0
ldbc,aql,gemma4:26b,ollama,ldbc_q07,medium,True,True,1,26.81258147599874,4258,2302,0,0,4258,0.0
ldbc,aql,gemma4:26b,ollama,ldbc_q08,hard,True,False,2,133.41998270602198,8617,11571,0,0,8617,0.0
