dataset,target,model,query_id,difficulty,levenshtein,jaccard,normalized_ted
ldbc,cypher,claude-opus-4-8,ldbc_q01,easy,0.0,0.0,0.0
ldbc,cypher,claude-opus-4-8,ldbc_q02,easy,0.0,0.0,0.0
ldbc,cypher,claude-opus-4-8,ldbc_q03,easy,0.0,0.0,0.0
ldbc,cypher,claude-opus-4-8,ldbc_q04,hard,0.02631578947368421,0.03703703703703709,0.02631578947368421
ldbc,cypher,claude-opus-4-8,ldbc_q05,hard,0.3125,0.09677419354838712,0.3125
ldbc,cypher,claude-opus-4-8,ldbc_q06,medium,0.0,0.0,0.0
ldbc,cypher,claude-opus-4-8,ldbc_q07,medium,0.2,0.030303030303030276,0.19718309859154928
ldbc,cypher,claude-opus-4-8,ldbc_q08,hard,0.0,0.0,0.0
ldbc,cypher,claude-opus-4-8,ldbc_q09,medium,0.23076923076923078,0.03125,0.23076923076923078
ldbc,cypher,claude-opus-4-8,ldbc_q10,hard,0.08888888888888889,0.0,0.09090909090909091
ldbc,cypher,claude-opus-4-8,ldbc_q11,hard,0.0,0.0,0.0
ldbc,cypher,claude-opus-4-8,ldbc_q12,hard,0.021505376344086023,0.0,0.02127659574468085
ldbc,cypher,claude-opus-4-8,ldbc_q13,hard,0.0,0.0,0.0
ldbc,cypher,claude-opus-4-8,ldbc_q14,medium,0.11627906976744186,0.08333333333333337,0.11363636363636363
ldbc,cypher,gemma4:26b,ldbc_q01,easy,0.0,0.0,0.0
ldbc,cypher,gemma4:26b,ldbc_q02,easy,0.0,0.0,0.0
ldbc,cypher,gemma4:26b,ldbc_q03,easy,0.0,0.0,0.0
ldbc,cypher,gemma4:26b,ldbc_q04,hard,0.0,0.0,0.0
ldbc,cypher,gemma4:26b,ldbc_q05,hard,0.25,0.09677419354838712,0.25
ldbc,cypher,gemma4:26b,ldbc_q06,medium,0.0,0.0,0.0
ldbc,cypher,gemma4:26b,ldbc_q07,medium,0.2,0.030303030303030276,0.19718309859154928
ldbc,cypher,gemma4:26b,ldbc_q08,hard,0.0,0.0,0.0
ldbc,cypher,gemma4:26b,ldbc_q09,medium,0.21875,0.0,0.21875
ldbc,cypher,gemma4:26b,ldbc_q10,hard,0.0,0.0,0.0
ldbc,cypher,gemma4:26b,ldbc_q11,hard,0.0,0.0,0.0
ldbc,cypher,gemma4:26b,ldbc_q12,hard,0.021505376344086023,0.0,0.02127659574468085
ldbc,cypher,gemma4:26b,ldbc_q13,hard,0.0,0.0,0.0
ldbc,cypher,gemma4:26b,ldbc_q14,medium,0.07317073170731707,0.04347826086956519,0.07142857142857142
ldbc,cypher,llama3.2:latest,ldbc_q01,easy,0.0,0.0,0.0
ldbc,cypher,llama3.2:latest,ldbc_q02,easy,0.4897959183673469,0.4838709677419355,0.48
ldbc,cypher,llama3.2:latest,ldbc_q03,easy,0.475,0.375,0.4634146341463415
ldbc,cypher,llama3.2:latest,ldbc_q04,hard,0.02631578947368421,0.07407407407407407,0.02631578947368421
ldbc,cypher,llama3.2:latest,ldbc_q05,hard,0.5714285714285714,0.5121951219512195,0.5967741935483871
ldbc,cypher,llama3.2:latest,ldbc_q06,medium,0.3684210526315789,0.31034482758620685,0.39285714285714285
ldbc,cypher,llama3.2:latest,ldbc_q07,medium,0.4782608695652174,0.38636363636363635,0.4731182795698925
ldbc,cypher,llama3.2:latest,ldbc_q08,hard,0.652542372881356,0.46341463414634143,0.6722689075630253
ldbc,cypher,llama3.2:latest,ldbc_q09,medium,0.38961038961038963,0.25,0.42105263157894735
ldbc,cypher,llama3.2:latest,ldbc_q10,hard,0.3877551020408163,0.25806451612903225,0.3958333333333333
ldbc,cypher,llama3.2:latest,ldbc_q11,hard,0.42028985507246375,0.2571428571428571,0.42028985507246375
ldbc,cypher,llama3.2:latest,ldbc_q12,hard,0.5537190082644629,0.2571428571428571,0.5655737704918032
ldbc,cypher,llama3.2:latest,ldbc_q13,hard,0.06060606060606061,0.0,0.058823529411764705
ldbc,cypher,llama3.2:latest,ldbc_q14,medium,0.6363636363636364,0.3448275862068966,0.6590909090909091
ldbc,cypher,qwen3-coder:30b,ldbc_q01,easy,0.0,0.0,0.0
ldbc,cypher,qwen3-coder:30b,ldbc_q02,easy,0.0,0.0,0.0
ldbc,cypher,qwen3-coder:30b,ldbc_q03,easy,0.0,0.0,0.0
ldbc,cypher,qwen3-coder:30b,ldbc_q04,hard,0.29545454545454547,0.03703703703703709,0.29545454545454547
ldbc,cypher,qwen3-coder:30b,ldbc_q05,hard,0.6216216216216216,0.25,0.625
ldbc,cypher,qwen3-coder:30b,ldbc_q06,medium,0.17073170731707318,0.11538461538461542,0.16666666666666666
ldbc,cypher,qwen3-coder:30b,ldbc_q07,medium,0.2,0.030303030303030276,0.19718309859154928
ldbc,cypher,qwen3-coder:30b,ldbc_q08,hard,0.11904761904761904,0.03125,0.15294117647058825
ldbc,cypher,qwen3-coder:30b,ldbc_q09,medium,0.328125,0.20588235294117652,0.375
ldbc,cypher,qwen3-coder:30b,ldbc_q10,hard,0.04878048780487805,0.07692307692307687,0.05
ldbc,cypher,qwen3-coder:30b,ldbc_q11,hard,0.04,0.0,0.04
ldbc,cypher,qwen3-coder:30b,ldbc_q12,hard,0.46236559139784944,0.25,0.48936170212765956
ldbc,cypher,qwen3-coder:30b,ldbc_q13,hard,0.0,0.0,0.0
ldbc,cypher,qwen3-coder:30b,ldbc_q14,medium,0.0975609756097561,0.125,0.09523809523809523
